Version:16,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Short Description,Price,Pricing Model,Assembly Product,,,,,,,,,,,,,,,,,,,
Header:Component,Component Name,Price,Quantity,Name HTML,Is Optional,Selected by default,Associated Product Reference,Uses Associated Product Prices,Uses Associated Product Name,Uses Associated Product Tax,Component As Separate Order Line,Include No Choice Label,No Choice Label Text,IsDeleted,Content Category,Use Associated Product Shipping,Include Grid of Choice Details,Include Prices,Hide Out of Stock Options,PermutationLayout,PermutationPrice,ComponentAttributeList,AttributeList,ComponentLayout
Product,FAGS-BRPK90/120-100,Beech 90/120cm bare root x 100,17899,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-90/120,0,100,FAGS-BR-90/120,0,1,FAGS-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK90/120-250,Beech 90/120cm bare root x 250,41999,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-90/120,0,250,FAGS-BR-90/120,0,1,FAGS-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK90/120-500,Beech 90/120cm bare root x 500,74499,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-90/120,0,500,FAGS-BR-90/120,0,1,FAGS-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK120/150-50,Beech 120/150cm bare root x 50,14199,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-120/150,0,50,FAGS-BR-120/150,0,1,FAGS-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK120/150-100,Beech 120/150cm bare root x 100,26899,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-120/150,0,100,FAGS-BR-120/150,0,1,FAGS-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK120/150-250,Beech 120/150cm bare root x 250,63499,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-120/150,0,250,FAGS-BR-120/150,0,1,FAGS-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK120/150-500,Beech 120/150cm bare root x 500,112099,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-120/150,0,500,FAGS-BR-120/150,0,1,FAGS-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK150/180-50,Beech 150/180cm bare root x 50,23299,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-150/180,0,50,FAGS-BR-150/180,0,1,FAGS-BR-150/180,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK150/180-100,Beech 150/180cm bare root x 100,41099,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-150/180,0,100,FAGS-BR-150/180,0,1,FAGS-BR-150/180,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK180/200-50,Beech 180/200cm bare root x 50,37899,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-180/200,0,50,FAGS-BR-180/200,0,1,FAGS-BR-180/200,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK180/200-100,Beech 180/200cm bare root x 100,59899,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-180/200,0,100,FAGS-BR-180/200,0,1,FAGS-BR-180/200,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,GRIS-BRPK40/60-50,Griselinia littoralis 40/60cm bare root x 50,14199,0,1,,,,,,,,,,,,,,,,,,,
Component,GRIS-BR-40/60,0,50,GRIS-BR-40/60,0,1,GRIS-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,GRIS-BRPK40/60-100,Griselinia littoralis 40/60cm bare root x 100,26899,0,1,,,,,,,,,,,,,,,,,,,
Component,GRIS-BR-40/60,0,100,GRIS-BR-40/60,0,1,GRIS-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,GRIS-BRPK40/60-250,Griselinia littoralis 40/60cm bare root x 250,59799,0,1,,,,,,,,,,,,,,,,,,,
Component,GRIS-BR-40/60,0,250,GRIS-BR-40/60,0,1,GRIS-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,GRIS-BRPK60/90-50,Griselinia littoralis 60/90cm bare root x 50,16549,0,1,,,,,,,,,,,,,,,,,,,
Component,GRIS-BR-60/90,0,50,GRIS-BR-60/90,0,1,GRIS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,GRIS-BRPK60/90-100,Griselinia littoralis 60/90cm bare root x 100,31399,0,1,,,,,,,,,,,,,,,,,,,
Component,GRIS-BR-60/90,0,100,GRIS-BR-60/90,0,1,GRIS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,GRIS-BRPK60/90-250,Griselinia littoralis 60/90cm bare root x 250,69799,0,1,,,,,,,,,,,,,,,,,,,
Component,GRIS-BR-60/90,0,250,GRIS-BR-60/90,0,1,GRIS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,ILE-BRPK20/30-50,English Holly 20/30cm bare root x 50,9449,0,1,,,,,,,,,,,,,,,,,,,
Component,ILE-BR-20/30,0,50,ILE-BR-20/30,0,1,ILE-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,ILE-BRPK20/30-100,English Holly 20/30cm bare root x 100,17899,0,1,,,,,,,,,,,,,,,,,,,
Component,ILE-BR-20/30,0,100,ILE-BR-20/30,0,1,ILE-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,ILE-BRPK20/30-250,English Holly 20/30cm bare root x 250,41999,0,1,,,,,,,,,,,,,,,,,,,
Component,ILE-BR-20/30,0,250,ILE-BR-20/30,0,1,ILE-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,ILE-BRPK40/60-50,English Holly 40/60cm bare root x 50,14199,0,1,,,,,,,,,,,,,,,,,,,
Component,ILE-BR-40/60,0,50,ILE-BR-40/60,0,1,ILE-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
